property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,Shopping_center_id,Distance_to_sc,Train_station_id,Distance_to_train_station,travel_min_to_CBD,Transfer_flag,Hospital_id,Distance_to_hospital,Supermarket_id,Distance_to_supermarket
60772,-37.844136,145.196171,46 Philip Street,VERMONT,7920000,house,2013,3,1,1,SC_088,3.124,19900,2.932,40,0,hospital_008,2.757,S_202,2.854
25336,-37.606518,144.929971,13 Princetown Avenue,CRAIGIEBURN,4970000,house,2013,3,2,1,SC_110,1.274,40221,1.288,46,0,hospital_104,4.989,S_005,1.235
19627,-37.67505646,144.9060974,2 Kernot Court,WESTMEADOWS,2920000,house,2009,3,1,0,SC_059,2.37,20030,1.486,37,0,hospital_104,2.991,S_153,1.411
60252,-37.825825,145.197077,75 Creek Road,MITCHAM,10245000,house,2014,2,1,2,SC_088,1.7,19900,0.979,40,0,hospital_010,1.731,S_202,1.846
50204,-37.762553,145.096437,38 Gisborne Street,BULLEEN,9792000,house,2014,3,1,2,SC_009,0.527,19935,3.205,26,0,hospital_193,2.03,S_154,0.642
82775,-37.905714,145.271329,4 Rutherglen Court,ROWVILLE,11025000,house,2011,4,2,2,SC_049,3.477,19868,3.4,55,0,hospital_150,3.763,S_199,2.475
30611,-37.757916,144.991606,111 Ballantyne Street,THORNBURY,7928000,house,2014,3,1,3,SC_103,2.235,20014,0.691,23,0,hospital_035,1.534,S_105,1.304
7332,-37.745464,144.765883,21 Woodland Drive,ALBANVALE,4420000,house,2014,3,1,3,SC_048,2.557,20002,3.008,33,0,hospital_057,4.594,S_070,0.897
67765,-37.75728226,145.3368988,9 Stuart Road,LILYDALE,5168000,house,2009,3,1,1,SC_084,2.023,19876,0.972,60,0,hospital_113,1.659,S_081,1.154
38512,-37.770104,145.039829,10 Abbotsford Grove,IVANHOE,25760000,house,2016,3,2,2,SC_001,0.299,19933,0.51,23,0,hospital_039,1.094,S_219,0.265
71964,-37.84299469,145.2628632,10 Alwyn,BAYSWATER,5844000,house,2008,3,1,1,SC_032,4.505,19870,0.484,50,0,hospital_002,1.465,S_139,0.354
992,-37.799466,144.890523,4/136 Geelong Road,FOOTSCRAY,3400000,house,2010,3,1,1,SC_043,2.633,20024,0.348,18,0,hospital_056,0.801,S_201,0.674
58516,-37.811745,145.179333,11 Stuart Crescent,NUNAWADING,6040000,house,2013,3,2,2,SC_088,0.844,19899,1.061,37,0,hospital_070,1.291,S_202,1.382
75492,-37.88753,145.052292,81 Mimosa Road,CARNEGIE,19380000,house,2015,3,2,2,SC_041,0.639,19920,0.57,28,0,hospital_108,2.393,S_015,0.362
32035,-37.73688126,145.0172119,17 Dean Street,PRESTON,8415000,house,2007,2,1,0,SC_047,1.169,20012,1.483,27,0,hospital_139,2.732,S_084,1.266
38566,-37.762281,145.031684,12 Ambrose Street,IVANHOE,17400000,house,2016,4,2,2,SC_001,1.088,19933,1.416,23,0,hospital_039,0.145,S_219,1.105
9042,-37.87564087,144.7557068,32 Shane Avenue,SEABROOK,2950000,house,2007,2,1,3,SC_092,3.059,46468,0.97,33,0,hospital_073,6.677,S_007,1.449
47364,-37.712507,145.159521,6 Fairdale Court,ELTHAM,7680000,house,2012,3,2,2,SC_051,4.323,19987,1.037,44,0,hospital_075,4.796,S_194,0.308
4192,-37.844078,144.878088,18 Ford Street,NEWPORT,6510000,house,2014,3,1,1,SC_033,3.368,19994,0.508,21,0,hospital_141,2.358,S_056,2.945
24016,-37.70144,144.975346,15 Denys Street,FAWKNER,7275000,house,2012,3,1,3,SC_030,4.101,19961,1.453,35,0,hospital_139,2.688,S_161,2.005
52440,-37.8290546,144.9891811,16 Melrose Street,CREMORNE,9880000,house,2012,3,1,1,SC_024,1.863,19908,0.561,11,0,hospital_196,1.168,S_102,2.095
62704,-37.83621597,145.2403565,20 Washusen Road,HEATHMONT,3000000,house,2008,3,2,2,SC_032,2.802,19871,0.953,46,0,hospital_179,1.855,S_139,2.451
3993,-37.823024,144.882637,9A Salisbury Street,YARRAVILLE,17820000,house,2012,3,2,2,SC_033,3.181,19995,0.896,19,0,hospital_056,3.342,S_201,2.824
65689,-37.774698,145.303199,111 Esther Crescent,MOOROOLBARK,7446000,house,2016,3,1,0,SC_084,2.07,19877,1.381,54,0,hospital_113,4.755,S_058,2.1
81731,-37.98768234,145.2406464,120 Kidds Road,DOVETON,4720000,house,2009,3,1,1,SC_077,2.061,19888,2.725,54,0,hospital_119,1.923,S_195,1.874
93425,-37.989998,145.092455,5 Clare Street,PARKDALE,12760000,house,2016,5,2,3,SC_003,2.121,19864,1.456,41,0,hospital_001,1.723,S_003,1.494
55071,-37.84204483,145.0672455,15 Orange Grove,CAMBERWELL,14690000,house,2007,2,1,2,SC_099,2.13,19851,0.754,30,0,hospital_168,1.166,S_160,0.851
45475,-37.69361,145.100729,78 Plenty River Drive,GREENSBOROUGH,5753000,house,2010,3,2,2,SC_062,4.857,19985,1.328,38,0,hospital_075,1.36,S_210,1.069
31933,-37.7439537,145.0138397,15 David Street,PRESTON,5424000,house,2008,3,2,2,SC_103,1.154,20013,1.218,25,0,hospital_035,2.175,S_105,1.198
47996,-37.803257,145.060816,17 Second Avenue,KEW,24300000,house,2015,4,2,1,SC_099,2.36,19903,2.505,23,0,hospital_064,1.256,S_137,1.181
30057,-37.771008,144.997028,40 Claude Street,NORTHCOTE,8320000,house,2012,2,1,0,SC_103,3.525,20016,0.2,20,0,hospital_035,1.311,S_105,2.294
63692,-37.785528,145.276619,179 Maroondah Highway,CROYDON,2020000,house,2013,3,1,1,SC_022,1.613,19878,1.157,51,0,hospital_164,3.09,S_181,1.228
28364,-37.800445,144.976785,60 Bell Street,FITZROY,12960000,house,2016,4,2,0,SC_008,1.409,19843,1.229,8,0,hospital_129,0.827,S_200,0.279
26475,-37.5762716,144.9105358,30 Powell Street,CRAIGIEBURN,4816000,house,2013,3,2,2,SC_005,0.895,40221,4.056,46,0,hospital_104,8.331,S_178,2.86
